Unnamed: 0,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL
929,Janos Quested,Riptide,Janos Quested,Male ,Single,Bad ,70,158.0,Purple ,Purple,Heterosexual,"Newark, New Jersey",Mexican,Homeschooled,Assassin,2,2,3,2,3,4,https://static.wikia.nocookie.net/marveldatabase/images/9/9d/Janos_Quested_%28Earth-616%29_from_X-Men_Battle_of_the_Atom_%28video_game%29_001.jpg/revision/latest/scale-to-width-down/350?cb=20141103231833,Mobile,https://marvel.fandom.com/wiki/Janos_Quested_(Earth-616),https://marvel.fandom.com/wiki/Janos_Quested_(Earth-616)#Powers_and_Abilities
930,Malice ,Malice,Alice MacAllister ,Female ,Single,Bad ,71,175.0,MultiColored,MultiColored,Heterosexual,"Doncaster, South Yorkshire, England, United Kingdom","British, English, Krakoan",Homeschooled,Mercenary,3,1,1,6,2,1,https://static.wikia.nocookie.net/marveldatabase/images/0/02/Alice_MacAllister_%28Earth-616%29_from_Excalibur_Vol_4_20_001.jpg/revision/latest/scale-to-width-down/250?cb=20210408114446,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Malice_(Marauders)_(Earth-616),https://marvel.fandom.com/wiki/Malice_(Marauders)_(Earth-616)#Powers_and_Abilities
931,DeMarr Davis,Doorman,DeMarr Davis,Male ,Single,Neutral,70,180.0,Brown ,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Servant of Oblivion, Angel of Death, adventurer",9,2,9,9,3,3,https://static.wikia.nocookie.net/marveldatabase/images/5/52/Demarr_Davis_%28Earth-616%29_from_Avengers-_Roll_Call_Vol_1_1.jpg/revision/latest/scale-to-width-down/280?cb=20160620201636,"Stark Assembly and Manufacturing Factory, Detroit, Michigan; formerly GLA Headquarters, Milwaukee, Wisconsin",https://marvel.fandom.com/wiki/DeMarr_Davis_(Earth-616),https://marvel.fandom.com/wiki/DeMarr_Davis_(Earth-616)#Powers_and_Abilities
932,Shinobi Shaw,Black Bishop,Shinobi Shaw,Male ,Single,Bad ,71,165.0,Brown ,Black,Heterosexual,"Newark, New Jersey","American, Krakoan",Homeschooled,"Adventurer; dormer Lord Imperial of the Hellfire Club, CEO and principal shareholder of Shaw Industries",3,2,2,3,1,2,https://static.wikia.nocookie.net/marveldatabase/images/f/f2/Shinobi_Shaw_%28Earth-616%29_from_Marauders_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/289?cb=20191205025334,"Krakoa, Pacific Ocean",https://marvel.fandom.com/wiki/Shinobi_Shaw_(Earth-616),https://marvel.fandom.com/wiki/Shinobi_Shaw_(Earth-616)#Powers_and_Abilities
933,Harley Davis,Motormouth,Harley Davis ,Female ,Single,Good ,64,105.0,Violet ,Silver,Heterosexual,"Newark, New Jersey","United Kingdom, English",Homeschooled,Adventurer,3,2,9,2,4,3,https://static.wikia.nocookie.net/marveldatabase/images/4/48/Revolutionary_War_Motormouth_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20131212184136,London,https://marvel.fandom.com/wiki/Harley_Davis_(Earth-616),https://marvel.fandom.com/wiki/Harley_Davis_(Earth-616)#Powers_and_Abilities
934,Sondra Brandenberg,Sandi Brandenberg,"Sondra ""Sandi"" Brandenberg ",Female ,Single,Good ,66,126.0,Brown ,Brown,Heterosexual,"Columbus, Ohio",American,High school graduate,Businesswoman,2,2,2,2,1,3,https://static.wikia.nocookie.net/marveldatabase/images/3/31/Sondra_Brandenberg_%28Earth-616%29_from_Deadpool_Corps_Rank_and_Foul_Vol_1_1_0001.jpg/revision/latest/scale-to-width-down/238?cb=20170126093739,"New York City, New York",https://marvel.fandom.com/wiki/Sondra_Brandenberg_(Earth-616),https://marvel.fandom.com/wiki/Sondra_Brandenberg_(Earth-616)#Powers_and_Abilities
935,Andrew Forson,Andrew Forson,Andrew Forson,Male ,Single,Bad ,72,180.0,Blue ,Blond,Heterosexual,"Unrevealed, presumably in USA ","Barbudan,  formerly American",Unspecified Ph.D,"Leader of A.I.M., scientist, Sovereign Designate of A.I.M. Island, Barbudan Ambassador to the U.N., terrorist",5,2,2,2,3,1,https://static.wikia.nocookie.net/marveldatabase/images/3/3b/Andrew_Forson_%28Earth-616%29_from_Avengers_World_Vol_1_19.jpg/revision/latest/scale-to-width-down/275?cb=20150409023636,Barbuda,https://marvel.fandom.com/wiki/Andrew_Forson_(Earth-616),https://marvel.fandom.com/wiki/Andrew_Forson_(Earth-616)#Powers_and_Abilities
936,Daniel Lyons,Black Marvel,"Daniel ""Dan"" Lyons",Male ,Single,Good ,69,170.0,Green ,Grey,Heterosexual,"Los Angeles, California",American,College graduate,"Wealthy socialite, crime fighter, adventurer",2,2,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/e/e8/Daniel_Lyons_%28Earth-616%29_from_Slingers_Vol_1_4_0001.jpg/revision/latest/scale-to-width-down/350?cb=20191012220517,New Jersey,https://marvel.fandom.com/wiki/Daniel_Lyons_(Earth-616),https://marvel.fandom.com/wiki/Daniel_Lyons_(Earth-616)#Powers_and_Abilities
937,Joshua Ayers,Miracle Man,Joshua Ayers ,Male ,Single,Bad ,71,185.0,Blue ,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Would-be conqueror; former monk, stage magician",3,6,9,5,9,2,https://static.wikia.nocookie.net/marveldatabase/images/0/02/Joshua_Ayers_%28Earth-616%29_from_FF_Fifty_Fantastic_Years_Vol_1_1_0001.png/revision/latest/scale-to-width-down/283?cb=20170410003147,Mobile,https://marvel.fandom.com/wiki/Joshua_Ayers_(Earth-616),https://marvel.fandom.com/wiki/Joshua_Ayers_(Earth-616)#Powers_and_Abilities
938,Morgan Stark,Morgan Stark,Morgan Stark,Male ,Single,Bad ,71,175.0,Hazel ,Brown,Heterosexual,"Long Island, New York",American,"High school graduate, incomplete business degree",Former head of Stark-Fujikawa North American operations,3,2,2,2,1,1,https://static.wikia.nocookie.net/marveldatabase/images/b/b0/Morgan_Stark_%28Earth-616%29_from_All-New_Iron_Manual_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/206?cb=20190513001736,Mobile,https://marvel.fandom.com/wiki/Morgan_Stark_(Earth-616),https://marvel.fandom.com/wiki/Morgan_Stark_(Earth-616)#Powers_and_Abilities
939,Ultimo,Ultimo,Ultimo,Male ,Single,Bad ,71,100.0,Yellow ,Bald,Heterosexual,"Newark, New Jersey",American,Homeschooled,Adventurer,1,7,3,7,3,2,https://static.wikia.nocookie.net/marveldatabase/images/4/46/2020_Force_Works_Vol_1_3_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20200307020803,"New York City, New York",https://marvel.fandom.com/wiki/Ultimo_(Earth-616),https://marvel.fandom.com/wiki/Ultimo_(Earth-616)#Powers_and_Abilities
940,Linda Carter,Night Nurse,Linda Jane Carter,Female ,Single,Good ,69,135.0,Brown ,Blond,Heterosexual,"Allentown, New York",American,Post-Graduate Advanced Degree,"General Medical Practitioner, formerly Registered Nurse, Student Nurse",3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/b/bd/Linda_Carter_%28Earth-616%29_from_Defenders_Vol_5_2_001.jpg/revision/latest/scale-to-width-down/305?cb=20170709212107,"Night Nurse's Clinic, Orchard Street, Chinatown, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Linda_Carter_(Earth-616),https://marvel.fandom.com/wiki/Linda_Carter_(Earth-616)#Powers_and_Abilities
941,Mastermind ,Mastermind,Braddock Manor Computer,Male ,Single,Bad ,168,175.0,Gold ,Bald,Heterosexual,"Newark, New Jersey",American,Homeschooled,Conqueror,6,5,3,4,6,1,https://static.wikia.nocookie.net/marveldatabase/images/3/36/Mastermind_%28Computer%29_%28Earth-616%29_from_Excalibur_Vol_2_3_0001.jpg/revision/latest/scale-to-width-down/233?cb=20080526190424,"New York City, New York",https://marvel.fandom.com/wiki/Mastermind_(Computer)_(Earth-616),https://marvel.fandom.com/wiki/Mastermind_(Computer)_(Earth-616)#Powers_and_Abilities
942,Samuel Barone,Black Talon,Samuel David Barone,Male ,Single,Bad ,74,240.0,Brown ,Black,Heterosexual,"New Orleans, Louisiana",American,Homeschooled,"Houngan , cult leader, professional criminal, occult consultant",2,2,2,2,6,2,https://static.wikia.nocookie.net/marveldatabase/images/7/7e/Samuel_Barone_%28Earth-616%29_from_Marvel_Zombies_4_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/350?cb=20201011061032,Mobile,https://marvel.fandom.com/wiki/Samuel_Barone_(Earth-616),https://marvel.fandom.com/wiki/Samuel_Barone_(Earth-616)#Powers_and_Abilities
943,Vril-Rokk,Smasher,Vril-Rokk,Male ,Single,Neutral ,74,290.0,MultiColored,Black,Heterosexual,"Newark, New Jersey",Shi'ar Empire,Homeschooled,Imperial Guardsman,2,6,6,6,1,4,https://static.wikia.nocookie.net/marveldatabase/images/c/ca/Vril-Rokk_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_Vol_2_6_001.jpg/revision/latest/scale-to-width-down/273?cb=20160823022641,"Shi'ar Throneworld, mobile throughout the Shi'ar Empire and surrounding galaxies",https://marvel.fandom.com/wiki/Vril-Rokk_(Earth-616),https://marvel.fandom.com/wiki/Vril-Rokk_(Earth-616)#Powers_and_Abilities
944,Morris Sloan,Morris Sloan,Morris Sloan,Male ,Single,Good ,69,185.0,Blue ,White,Heterosexual,"Hazelton, Pennsylvania",American,Homeschooled,chairman of Empire State University Biophysics Department,3,2,2,2,1,1,https://static.wikia.nocookie.net/marveldatabase/images/6/60/Morris_Sloan_%28Earth-616%29_from_Peter_Parker%2C_The_Spectacular_Spider-Man_Vol_1_42_001.png/revision/latest/scale-to-width-down/144?cb=20120519085450,"Empire State University, New York",https://marvel.fandom.com/wiki/Morris_Sloan_(Earth-616),https://marvel.fandom.com/wiki/Morris_Sloan_(Earth-616)#Powers_and_Abilities
945,Hussar,Hussar,Unknown,Female ,Single,Neutral ,65,120.0,Yellow ,Blond,Heterosexual,Shi'ar Empire,Shi'ar Empire,Homeschooled,Imperial Shi'ar Guardsman,2,2,2,2,2,5,https://static.wikia.nocookie.net/marveldatabase/images/f/fa/Hussar_%28Earth-616%29_from_X-Force_Vol_5_2_cover_001.jpg/revision/latest/scale-to-width-down/187?cb=20190210151021,"Chandilar, Shi'ar Throneworld; mobile throughout the Shi'ar Empire and the surrounding galaxies",https://marvel.fandom.com/wiki/Hussar_(Earth-616),https://marvel.fandom.com/wiki/Hussar_(Earth-616)#Powers_and_Abilities
946,Roland Burroughs,Death Adder,Roland Burroughs,Male ,Single,Bad ,66,151.0,Blue ,MultiColored,Heterosexual,"Rochester, New York",American,Unspecified engineering degree,"Professional criminal, mercenary",2,4,5,3,1,4,https://static.wikia.nocookie.net/marveldatabase/images/b/b9/Roland_Burroughs_%28Earth-616%29_from_Venom_Vol_2_20.JPG/revision/latest/scale-to-width-down/298?cb=20120726001441,"New York City, New York",https://marvel.fandom.com/wiki/Roland_Burroughs_(Earth-616),https://marvel.fandom.com/wiki/Roland_Burroughs_(Earth-616)#Powers_and_Abilities
947,Anthony Power,Professor Power,Anthony Power,Male ,Widowed,Bad ,72,220.0,Brown ,Brown,Heterosexual,"Norfolk, Virginia",American,Doctorate,Terrorist; Teacher,4,5,3,5,6,2,https://static.wikia.nocookie.net/marveldatabase/images/b/b3/Anthony_Power_%28Earth-616%29_from_Captain_America_America%27s_Avenger_Vol_1_1_0001.png/revision/latest/scale-to-width-down/298?cb=20170430225015,"New York City, New York",https://marvel.fandom.com/wiki/Anthony_Power_(Earth-616),https://marvel.fandom.com/wiki/Anthony_Power_(Earth-616)#Powers_and_Abilities
948,Calvin Carr,Chemistro,Calvin Carr,Male ,Single,Neutral,73,225.0,Brown ,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,Criminal,2,2,2,2,5,2,https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Calvin_Carr_%28Earth-616%29_from_New_Avengers_Vol_1_55_001.jpg/revision/latest/scale-to-width-down/250?cb=20200131222722,"New York City, New York",https://marvel.fandom.com/wiki/Calvin_Carr_(Earth-616),https://marvel.fandom.com/wiki/Calvin_Carr_(Earth-616)#Powers_and_Abilities
949,Raymond Sikorski,Raymond Sikorski,Raymond Sikorski,Male ,Single,Good ,61,175.0,Brown ,Brown,Heterosexual,"New York City, New York, USA",American,JD in law ,"Recruiter for Roxxon Oil Blackridge, national security adviserFormerlyUS government liaison to the Avengers",3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/1/14/Raymond_Sikorski_%28Earth-616%29_from_Avengers_Assemble_Vol_1_1_0001.jpg/revision/latest/scale-to-width-down/276?cb=20161029192050,"New York City, New York",https://marvel.fandom.com/wiki/Raymond_Sikorski_(Earth-616),https://marvel.fandom.com/wiki/Raymond_Sikorski_(Earth-616)#Powers_and_Abilities
950,Vixen ,Vixen,Unknown,Female ,Single,Bad ,68,128.0,Magenta ,Magenta,Heterosexual,"Newark, New Jersey",British,Homeschooled,Crimelord,5,3,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/b/b2/Vixen_%28British_Crimelord%29_%28Earth-616%29_from_Marvel_Pets_Handbook_Vol_1_1_0001.jpg/revision/latest/scale-to-width-down/248?cb=20180307001159,England,https://marvel.fandom.com/wiki/Vixen_(British_Crimelord)_(Earth-616),https://marvel.fandom.com/wiki/Vixen_(British_Crimelord)_(Earth-616)#Powers_and_Abilities
951,Karl Morgenthau,Flag-Smasher,Karl Morgenthau ,Male ,Single,Bad ,74,235.0,Brown ,Brown,Heterosexual,"Newark, New Jersey",Swiss,Homeschooled,Terrorist,2,2,2,2,1,5,https://static.wikia.nocookie.net/marveldatabase/images/e/e0/Karl_Morgenthau_%28Earth-616%29.JPG/revision/latest/scale-to-width-down/311?cb=20120118213916,Mobile,https://marvel.fandom.com/wiki/Karl_Morgenthau_(Earth-616),https://marvel.fandom.com/wiki/Karl_Morgenthau_(Earth-616)#Powers_and_Abilities
952,Michael Baer,Blockbuster,Michael Baer,Male ,Single,Bad ,82,386.0,Brown ,Bald,Heterosexual,"Newark, New Jersey",American,Homeschooled,Assassin; mercenary,2,6,2,6,1,4,https://static.wikia.nocookie.net/marveldatabase/images/f/f1/Michael_Baer_%28Earth-616%29_from_X-Men_Battle_of_the_Atom_%28video_game%29_002.jpg/revision/latest/scale-to-width-down/350?cb=20171022213928,Mobile,https://marvel.fandom.com/wiki/Michael_Baer_(Earth-616),https://marvel.fandom.com/wiki/Michael_Baer_(Earth-616)#Powers_and_Abilities
953,Kristine Watson,Kristy Watson,"Kristine ""Kristy"" Watson",Female ,Single,Good ,62,90.0,Green ,Red,Heterosexual,"Indianapolis, Indiana",American,Homeschooled,Adventurer,2,2,2,2,1,1,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Kristine_Watson_%28Earth-616%29.jpg/revision/latest/scale-to-width-down/254?cb=20120822010400,"New York City, New York",https://marvel.fandom.com/wiki/Kristine_Watson_(Earth-616),https://marvel.fandom.com/wiki/Kristine_Watson_(Earth-616)#Powers_and_Abilities
954,Vali Halfling,Agamemnon,Vali Halfling ,Male ,Single,Bad ,67,420.0,Brown ,Brown,Heterosexual,Asgard,Asgardian,"Trained in black magic rites by Loki, extensively self-taught","Conqueror, adventurer",5,5,9,5,7,5,https://static.wikia.nocookie.net/marveldatabase/images/e/ea/Vali_Halfling_%28Earth-616%29_from_Thor_Asgard%27s_Avenger_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/259?cb=20180330193138,"New York City, New York",https://marvel.fandom.com/wiki/Vali_Halfling_(Earth-616),https://marvel.fandom.com/wiki/Vali_Halfling_(Earth-616)#Powers_and_Abilities
955,Steven Levins,Jack O'Lantern,Steven Mark Levins,Male ,Married,Bad ,72,200.0,MultiColored,Bald,Heterosexual,"Sleepy Hollow, Illinois",American,Homeschooled,"Member of the New U Technologies; former bounty hunter for Mephisto, former Professional Criminal, Terrorist",2,2,2,3,3,3,https://static.wikia.nocookie.net/marveldatabase/images/7/73/Ghost_Rider_Vol_6_11_Textless.jpg/revision/latest/scale-to-width-down/350?cb=20160421022242,"New York City, New York",https://marvel.fandom.com/wiki/Steven_Levins_(Earth-616),https://marvel.fandom.com/wiki/Steven_Levins_(Earth-616)#Powers_and_Abilities
956,Siena Blaze,Siena Blaze,Siena Blaze,Female ,Single,Bad ,74,190.0,Brown ,Blond,Heterosexual,"Los Cruces, New Mexico",American,Homeschooled,"Gamester, terrorist",2,2,9,2,5,2,https://static.wikia.nocookie.net/marveldatabase/images/5/5e/Siena_Blaze_%28Earth-616%29_from_X-Men_Phoenix_Force_Handbook_Vol_1_1.png/revision/latest/scale-to-width-down/263?cb=20130802215536,"New York City, New York",https://marvel.fandom.com/wiki/Siena_Blaze_(Earth-616),https://marvel.fandom.com/wiki/Siena_Blaze_(Earth-616)#Powers_and_Abilities
957,Judas Traveller,Judas Traveller,Judas Traveller,Male ,Single,Neutral,70,160.0,Red ,White,Heterosexual,"Danvers, Massachusetts",American,Ph.D. in criminal psychology,Criminal psychologist,3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/1/11/Judas_Traveller_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_394.png/revision/latest/scale-to-width-down/277?cb=20141101234733,Mobile,https://marvel.fandom.com/wiki/Judas_Traveller_(Earth-616),https://marvel.fandom.com/wiki/Judas_Traveller_(Earth-616)#Powers_and_Abilities
958,Vincente Fortunato,Don Fortunato,Vincente Paolo Fortunato,Male ,Single,Bad ,66,145.0,Blue ,Bald,Heterosexual,"Newark, New Jersey",American,Homeschooled,Adventurer,2,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/9/9a/Vincente_Fortunato_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_A_to_Z_Vol_1_4_0001.jpg/revision/latest/scale-to-width-down/350?cb=20201011184646,"New York City, New York",https://marvel.fandom.com/wiki/Vincente_Fortunato_(Earth-616),https://marvel.fandom.com/wiki/Vincente_Fortunato_(Earth-616)#Powers_and_Abilities
959,Derek Khanata,Derek Khanata,Derek Khanata,Male ,Married,Good ,73,182.0,Brown ,Black,Heterosexual,"Newark, New Jersey",Wakandan,Homeschooled,Former government agent,3,2,2,2,1,4,https://static.wikia.nocookie.net/marveldatabase/images/0/09/Derek_Khanata_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/183?cb=20151130220329,San Francisco,https://marvel.fandom.com/wiki/Derek_Khanata_(Earth-616),https://marvel.fandom.com/wiki/Derek_Khanata_(Earth-616)#Powers_and_Abilities
960,Klara Prast,Klara Prast,Klara Prast,Female ,Widowed,Good ,57,95.0,Blue ,Black,Heterosexual,"Bern, Switzerland","American, Swiss",No formal education,"Student; former adventurer, factory worker",2,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/b/b2/Klara_Prast_%28Earth-616%29_from_Runaways_Vol_5_11_001.jpg/revision/latest/scale-to-width-down/256?cb=20200711023718,"Foster care in or near Los Angeles, California",https://marvel.fandom.com/wiki/Klara_Prast_(Earth-616),https://marvel.fandom.com/wiki/Klara_Prast_(Earth-616)#Powers_and_Abilities
961,Terrance Ward,Trauma,Terrance Ward,Male ,Single,Good ,67,141.0,Brown ,Black,Heterosexual,"Pittsfield, Massachusetts, USA",American,High school graduate,"TherapistFormerlyInitiative Staff Member , student",2,8,8,8,8,3,https://static.wikia.nocookie.net/marveldatabase/images/b/b2/Terrance_Ward_%28Earth-616%29_from_Avengers_The_Initiative_Vol_1_1_0001.JPG/revision/latest/scale-to-width-down/238?cb=20191202044633,"New York City, New York",https://marvel.fandom.com/wiki/Terrance_Ward_(Earth-616),https://marvel.fandom.com/wiki/Terrance_Ward_(Earth-616)#Powers_and_Abilities
962,Dexter Bennett,Dexter Bennett,Dexter Bennett,Male ,Single,Neutral ,69,158.0,Grey ,White,Heterosexual,"Walpole, Massachusetts, United States of America",American,Homeschooled,"Businessman, former Owner of the DB",3,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/0/03/Dexter_Bennett_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_568_0001.jpg/revision/latest/scale-to-width-down/350?cb=20200510154306,"Daily Bugle Building, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Dexter_Bennett_(Earth-616),https://marvel.fandom.com/wiki/Dexter_Bennett_(Earth-616)#Powers_and_Abilities
963,Martinique Wyngarde,Mastermind,Martinique Wyngarde,Female ,Single,Bad ,70,130.0,Blue ,Brown,Heterosexual,"Newark, New Jersey","American, Krakoan",Homeschooled,Adventurer,3,2,2,2,3,3,https://static.wikia.nocookie.net/marveldatabase/images/0/0b/Martinique_Wyngarde_%28Earth-616%29_from_Uncanny_X-Men_Vol_1_498_0001.jpg/revision/latest/scale-to-width-down/259?cb=20200228003051,Pace Federal Penitentiary,https://marvel.fandom.com/wiki/Martinique_Wyngarde_(Earth-616),https://marvel.fandom.com/wiki/Martinique_Wyngarde_(Earth-616)#Powers_and_Abilities
964,James Jankovicz,James Jankovicz,"James ""Jimmy"" Jankovicz ",Male ,Single,Good ,72,160.0,Blue ,Bald,Heterosexual,"Clearview, Washington",American,Elementary school ,"Former Allied operative, adventurer, student",3,3,3,3,6,4,https://static.wikia.nocookie.net/marveldatabase/images/2/29/James_Jankovicz_%28Earth-616%29_from_Captain_America_Vol_6_1_002.jpg/revision/latest/scale-to-width-down/350?cb=20210418021737,"Clearview, Washington",https://marvel.fandom.com/wiki/James_Jankovicz_(Earth-616),https://marvel.fandom.com/wiki/James_Jankovicz_(Earth-616)#Powers_and_Abilities
965,Harvey Schlemerman,Chondu the Mystic,Harvey Schlemerman,Male ,Single,Bad ,68,155.0,Blue ,Bald,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Bar owner, former professional criminal, former sideshow magician",5,3,9,6,4,3,https://static.wikia.nocookie.net/marveldatabase/images/7/70/Harvey_Schlemerman_%28Earth-616%29_from_Doctor_Strange_Vol_4_5_001.jpg/revision/latest/scale-to-width-down/350?cb=20160204052601,"Bar With No Doors, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Harvey_Schlemerman_(Earth-616),https://marvel.fandom.com/wiki/Harvey_Schlemerman_(Earth-616)#Powers_and_Abilities
966,Frank Farnum,Masked Marauder,Frank Farnum,Male ,Single,Bad ,70,175.0,Brown ,Black,Heterosexual,"Newark, New Jersey",American,Homeschooled,former landlord,5,2,2,2,4,3,https://static.wikia.nocookie.net/marveldatabase/images/9/9f/Frank_Farnum_%28Earth-616%29_from_Punisher_War_Journal_Vol_2_4_0002.jpg/revision/latest/scale-to-width-down/295?cb=20190930200502,"New York City, New York",https://marvel.fandom.com/wiki/Frank_Farnum_(Earth-616),https://marvel.fandom.com/wiki/Frank_Farnum_(Earth-616)#Powers_and_Abilities
967,Basil Elks,Basilisk,Basil Elks,Male ,Single,Bad ,71,210.0,Red ,Bald,Heterosexual,"Norristown, Pennsylvania",American,Homeschooled,Assassin; burglar,3,4,10,6,6,3,https://static.wikia.nocookie.net/marveldatabase/images/a/a0/Basil_Elks_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20151129011231,"New York City, New York",https://marvel.fandom.com/wiki/Basil_Elks_(Earth-616),https://marvel.fandom.com/wiki/Basil_Elks_(Earth-616)#Powers_and_Abilities
968,Shen Kuei,Cat,Shen Kuei,Male ,Single,Good ,69,155.0,Blue ,Black,Heterosexual,Hong Kong,Chinese,Homeschooled,"Freelance espionage operative, consultant for Roxxon",3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/4/4b/Shen_Kuei_%28Earth-616%29_from_Deadpool_Corps-_Rank_and_Foul_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/227?cb=20180813110208,Hong Kong,https://marvel.fandom.com/wiki/Shen_Kuei_(Earth-616),https://marvel.fandom.com/wiki/Shen_Kuei_(Earth-616)#Powers_and_Abilities
969,Tath Ki,Contemplator,Tath Ki,Male ,Single,Good ,60,100.0,Blue ,Bald,Heterosexual,Coalsack Nebula,American,Extensively self-taught,"Philosopher, Teacher, Investigator of Reality, Cosmic Being",6,3,9,4,5,5,https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Tath_Ki_%28Earth-616%29_from_Avengers_Assemble_Vol_2_7.jpg/revision/latest/scale-to-width-down/350?cb=20140223024927,Mobile throughout the universe,https://marvel.fandom.com/wiki/Tath_Ki_(Earth-616),https://marvel.fandom.com/wiki/Tath_Ki_(Earth-616)#Powers_and_Abilities
970,Toothgnasher,Toothgnasher,Tanngrisnir,Male ,Single,Good ,72,1700.0,Brown ,White,Heterosexual,"Newark, New Jersey",Asgardian,Homeschooled,Thor's goat,2,4,7,4,1,2,https://static.wikia.nocookie.net/marveldatabase/images/e/e4/Toothgnasher_%28Earth-616%29_from_Thor_Vol_5_16_001.jpg/revision/latest/scale-to-width-down/350?cb=20200807021100,"New York City, New York",https://marvel.fandom.com/wiki/Toothgnasher_(Earth-616),https://marvel.fandom.com/wiki/Toothgnasher_(Earth-616)#Powers_and_Abilities
971,Marcus Daniels,Blackout,"Marcus ""Mark"" Daniels",Male ,Single,Bad ,70,180.0,Grey ,Brown,Heterosexual,"Flushing, Queens, New York, New York",American,MS in physics,Profession criminal; former research assistant,2,2,10,6,5,2,https://static.wikia.nocookie.net/marveldatabase/images/e/e2/Marcus_Daniels_%28Earth-616%29_from_Siege_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/350?cb=20180520064457,"New York City, New York",https://marvel.fandom.com/wiki/Marcus_Daniels_(Earth-616),https://marvel.fandom.com/wiki/Marcus_Daniels_(Earth-616)#Powers_and_Abilities
972,Roger Norvell,Red Norvell,"Roger ""Red"" Norvell",Male ,Single,Good ,74,170.0,Blue ,Red,Heterosexual,Somewhere in the USA,"American, Asgardian",High School,"Thunder God; former freelance cameraman, news cameraman",2,7,7,6,6,4,https://static.wikia.nocookie.net/marveldatabase/images/1/14/Roger_Norvell_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_A_to_Z_Vol_1_8_0001.jpg/revision/latest/scale-to-width-down/236?cb=20180428035924,"Mobile, Asgard, New York",https://marvel.fandom.com/wiki/Roger_Norvell_(Earth-616),https://marvel.fandom.com/wiki/Roger_Norvell_(Earth-616)#Powers_and_Abilities
973,Maelstrom,Maelstrom,Unknown,Male ,Single,Bad ,98,425.0,Purple ,Purple,Heterosexual,"Newark, New Jersey",American,Homeschooled,"Geneticist, would-be conqueror",6,11,2,10,5,2,https://static.wikia.nocookie.net/marveldatabase/images/6/67/Maelstrom_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_2_11_001.jpg/revision/latest/scale-to-width-down/350?cb=20170410051554,"New York City, New York",https://marvel.fandom.com/wiki/Maelstrom_(Earth-616),https://marvel.fandom.com/wiki/Maelstrom_(Earth-616)#Powers_and_Abilities
